Num,ADJUSTED NUMBER,Observer,Date,Cloud,Wind,Time,Species,Lat,Lon,Age,Sex,Bird Height,Foraging Location,Foraging Behavior,Flock?,# individuals,Con/hetero,# species,Which species,Substrate type,Canopy height,Canopy level,PLAYBACK?,Locality,NOTE,,,Distance from Trunk,DBH,(habitat),(tree height),,,
14,281,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,5,OF,F,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
14,281,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,5,OL,F,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
14,281,AE,1/21,10,1,908,BBTO,18.5204536,-68.3842143,U,U,6,OF,S,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
13,242,K,1/20,40,1,850,BCPT,"18º31`10""N","68º22`27""W",U,U,10,UL,G,N,-,-,-,-,T,15,3,N,Tortuga Bay - Main Road,,,,,,,,,,
13,242,K,1/20,40,1,914,BCPT,"18º31`10""N","68º22`27""W",U,U,10,OL,G,N,-,-,-,-,T,15,3,N,Tortuga Bay - Main Road,,,,,,,,,,
19,288,K,1/20,40,1,916,BCPT,"18º31`11""N","68º22`27""W",U,U,3.5,B,G,N,-,-,-,-,T,15,1,N,Tortuga Bay - Main Road,,,,,,,,,,
19,288,K,1/20,40,1,916,BCPT,"18º31`11""N","68º22`27""W",U,U,3.8,L,K,N,-,-,-,-,T,15,1,N,Tortuga Bay - Main Road,,,,,,,,,,
19,288,K,1/20,40,1,916,BCPT,"18º31`11""N","68º22`27""W",U,U,3.8,L,K,N,-,-,-,-,T,15,1,N,Tortuga Bay - Main Road,,,,,,,,,,
19,288,K,1/20,40,1,916,BCPT,"18º31`11""N","68º22`27""W",U,U,3.8,L,K,N,-,-,-,-,T,15,,N,Tortuga Bay - Main Road,,,,,,,,,,
2,249,K,1/20,10,1,1627,BCPT,"18º31`10""N","68º23`05""W",U,U,7,OL,G,N,2,C,1,-,T,13,2,N,Gavilan,,,,,,,,,,
2,249,K,1/20,10,1,1627,BCPT,"18º31`10""N","68º23`05""W",U,U,8,OL,K,N,2,C,1,-,T,13,2,N,Gavilan,,,,,,,,,,
11,263,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,OS,G,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
11,263,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,Y,C,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
11,263,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,Y,C,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
12,264,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,Y,C,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
12,264,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,Y,C,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
12,264,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,Y,C,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
12,264,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,UL,H,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
12,264,MG,1/21,10,1,825,BCPT,18.5253697,-68.3817028,U,U,7,OL,G,Y,2,C,1,,T,12,2,N,Man-made Lagoons,,,,,,,,,,
19,286,AE,1/21,10,1,920,BCPT,18.5194191,-68.3844604,U,U,4,OL,G,N,,,,,T,9,2,N,Behind Sewage Ponds,,,,,,,,,,
19,53,A + M,1/13,10,3,1745,BTBW,18.5109198,-68.3732619,F/J,U,4,UL,G,N,,,,,S,25,1,N,Casitas,,,,,,,,,,
1,105,AE,1/18,60,3,1659,BWVI,18.5140342,-68.3733765,U,U,6,OL,G,N,,,,,T,12,2,N,Casitas - Polo,,,,,,,,,,
2,114,MG,1/19,0,0,815,BWVI,18.5186707,-68.3829471,U,U,1.8,UL,G,N,,,,,B,6,1,N,Gavilan,,,,,,,,,,
9,136,AE,1/19,0,0,825,BWVI,18.5189956,-68.3812277,U,U,5,OF,G,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
9,136,AE,1/19,0,0,825,BWVI,18.5189956,-68.3812277,U,U,6,OL,G,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
9,136,AE,1/19,0,0,825,BWVI,18.5189956,-68.3812277,U,U,6,Y,C,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
9,136,AE,1/19,0,0,825,BWVI,18.5189956,-68.3812277,U,U,6,Y,C,N,,,,,T,10,2,N,Hacienda,,,,,,,,,,
1,179,MG,1/19,30,1,1550,BWVI,18.5187031,-68.3812601,U,U,6,OF,G,,,,,,T,8,3,N,Hacienda,,,,,,,,,,
1,179,MG,1/19,30,1,1550,BWVI,18.5187031,-68.3812601,U,U,6,UL,G,,,,,,T,8,3,N,Hacienda,,,,,,,,,,
1,179,MG,1/19,30,1,1550,BWVI,18.5187031,-68.3812601,U,U,6,B,G,,,,,,T,8,3,N,Hacienda,,,,,,,,,,
1,179,MG,1/19,30,1,1550,BWVI,18.5187031,-68.3812601,U,U,6,B,G,,,,,,T,8,3,N,Hacienda,,,,,,,,,,
1,179,MG,1/19,30,1,1550,BWVI,18.5187031,-68.3812601,U,U,6,B,G,,,,,,T,8,3,N,Hacienda,,,,,,,,,,
22,287,MG,1/20,20,1,845,BWVI,18.5288936,-68.3759089,U,U,4,OL,G,N,,,,,B,5,3,N,Hacienda,,,,,,,,,,
21,209,MG,1/20,20,1,937,BWVI,18.5185296,-68.3811201,U,U,8,OS,G,N,,,,,T,9,3,N,Hacienda,,,,,,,,,,
21,209,MG,1/20,20,1,937,BWVI,18.5185296,-68.3811201,U,U,7,Y,C,N,,,,,T,9,3,N,Hacienda,,,,,,,,,,
21,209,MG,1/20,20,1,937,BWVI,18.5185296,-68.3811201,U,U,7,Y,C,N,,,,,T,9,3,N,Hacienda,,,,,,,,,,
8,217,AE,1/20,10,1,849,BWVI,18.516873,-68.3732766,U,U,5,OL,G,N,,,,,T,17,1,N,Reserve,,,,,,,,,,
8,217,AE,1/20,10,1,849,BWVI,18.516873,-68.3732766,U,U,6,OL,G,N,,,,,T,17,2,N,Reserve,,,,,,,,,,
8,217,AE,1/20,10,1,849,BWVI,18.516873,-68.3732766,U,U,6,Y,C,N,,,,,T,17,2,N,Reserve,,,,,,,,,,
5,227,EH,1/20,10,1,905,BWVI,18.5316949,-68.3830711,U,U,7.5,Y,C,N,-,- ,-,,T,8,3,N,Hacienda,,,,x3,,,,,,
5,227,EH,1/20,10,1,905,BWVI,18.5316949,-68.3830711,U,U,7.5,Y,C,N,-,- ,-,,T,8,3,N,Hacienda,,,,x3,,,,,,
5,227,EH,1/20,10,1,905,BWVI,18.5316949,-68.3830711,U,U,7.5,Y,C,N,-,- ,-,,T,8,3,N,Hacienda,,,,x3,,,,,,
12,241,K,1/20,40,1,842,BWVI,"18º31`9""N","68º22`28""W",J,U,4,UL,G,N,-,-,-,-,T,7,3,N,Tortuga Bay - Main Road,,,,,,,,,,
3,255,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,11,OL,G,N,,,,,T,12,3,N,Man-made Lagoons,,,,,,,,,,
3,255,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,11,OL,G,N,,,,,T,12,3,N,Man-made Lagoons,,,,,,,,,,
3,255,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,11,OL,G,N,,,,,T,12,3,N,Man-made Lagoons,,,,,,,,,,
3,255,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,11,OL,G,N,,,,,T,12,3,N,Man-made Lagoons,,,,,,,,,,
3,255,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,11,OL,G,N,,,,,T,12,3,N,Man-made Lagoons,,,,,,,,,,
5,257,MG,1/21,10,1,745,BWVI,18.5168452,-68.3799738,U,U,4,OL,G,N,,,,,T,10,2,N,Man-made Lagoons,,,,,,,,,,
8,260,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,6,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
8,260,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,6,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
8,260,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,6,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
8,260,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,6,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
8,260,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,6,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
9,261,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,7,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
9,261,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,7,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
9,261,MG,1/21,10,1,815,BWVI,18.5140475,-68.38124702,U,U,7,Y,C,Y,2,C,1,,T,8,3,N,Man-made Lagoons,,,,,,,,,,
